filename,mean,low,high,halfLength
BLI_13_104,191.0,191.0,191.0,0.0
BLI_13_105,218.0,218.0,218.0,0.0
BLI_13_106,145.0,145.0,145.0,0.0
BLI_5_104,110.0,110.0,110.0,0.0
BLI_5_105,135.0,135.0,135.0,0.0
BLI_5_106,154.0,154.0,154.0,0.0
BLI_60_104,151.0,151.0,151.0,0.0
BLI_60_105,150.0,150.0,150.0,0.0
BLI_60_106,145.0,145.0,145.0,0.0
Control_13_104,134.0,134.0,134.0,0.0
Control_13_105,131.0,131.0,131.0,0.0
Control_13_106,134.0,134.0,134.0,0.0
Control_5_104,127.0,127.0,127.0,0.0
Control_5_105,130.0,130.0,130.0,0.0
Control_5_106,135.0,135.0,135.0,0.0
Control_60_104,137.0,137.0,137.0,0.0
Control_60_105,137.0,137.0,137.0,0.0
Control_60_106,137.0,137.0,137.0,0.0
ECL_13_104,137.0,137.0,137.0,0.0
ECL_13_105,146.0,146.0,146.0,0.0
ECL_13_106,255.0,255.0,255.0,0.0
ECL_5_104,138.0,138.0,138.0,0.0
ECL_5_105,154.0,154.0,154.0,0.0
ECL_5_106,167.0,167.0,167.0,0.0
ECL_60_104,137.0,137.0,137.0,0.0
ECL_60_105,144.0,144.0,144.0,0.0
ECL_60_106,137.0,137.0,137.0,0.0
ECO_13_104,202.0,202.0,202.0,0.0
ECO_13_105,169.0,169.0,169.0,0.0
ECO_13_106,141.0,141.0,141.0,0.0
ECO_5_104,114.0,114.0,114.0,0.0
ECO_5_105,176.0,176.0,176.0,0.0
ECO_5_106,161.0,161.0,161.0,0.0
ECO_60_104,155.0,155.0,155.0,0.0
ECO_60_105,153.0,153.0,153.0,0.0
ECO_60_106,147.0,147.0,147.0,0.0
EFA_13_104,261.0,261.0,261.0,0.0
EFA_13_105,171.0,171.0,171.0,0.0
EFA_13_106,142.0,142.0,142.0,0.0
EFA_5_104,110.0,110.0,110.0,0.0
EFA_5_105,164.0,164.0,164.0,0.0
EFA_5_106,164.0,164.0,164.0,0.0
EFA_60_104,149.0,149.0,149.0,0.0
EFA_60_105,153.0,153.0,153.0,0.0
EFA_60_106,144.0,144.0,144.0,0.0
LMO_13_104,136.0,136.0,136.0,0.0
LMO_13_105,142.0,142.0,142.0,0.0
LMO_13_106,236.0,236.0,236.0,0.0
LMO_5_104,131.0,131.0,131.0,0.0
LMO_5_105,145.0,145.0,145.0,0.0
LMO_5_106,159.0,159.0,159.0,0.0
LMO_60_104,136.0,136.0,136.0,0.0
LMO_60_105,137.0,137.0,137.0,0.0
LMO_60_106,130.0,130.0,130.0,0.0
SAU_13_104,137.0,137.0,137.0,0.0
SAU_13_105,144.0,144.0,144.0,0.0
SAU_13_106,226.0,226.0,226.0,0.0
SAU_5_104,131.0,131.0,131.0,0.0
SAU_5_105,145.0,145.0,145.0,0.0
SAU_5_106,148.0,148.0,148.0,0.0
SAU_60_104,138.0,138.0,138.0,0.0
SAU_60_105,132.0,132.0,132.0,0.0
SAU_60_106,131.0,131.0,131.0,0.0
SCE_13_104,172.0,172.0,172.0,0.0
SCE_13_105,235.0,235.0,235.0,0.0
SCE_13_106,142.0,142.0,142.0,0.0
SCE_5_104,110.0,110.0,110.0,0.0
SCE_5_105,126.0,126.0,126.0,0.0
SCE_5_106,159.0,159.0,159.0,0.0
SCE_60_104,143.0,143.0,143.0,0.0
SCE_60_105,143.0,143.0,143.0,0.0
SCE_60_106,143.0,143.0,143.0,0.0
SEN_13_104,135.0,135.0,135.0,0.0
SEN_13_105,144.0,144.0,144.0,0.0
SEN_13_106,213.0,213.0,213.0,0.0
SEN_5_104,129.0,129.0,129.0,0.0
SEN_5_105,147.0,147.0,147.0,0.0
SEN_5_106,166.0,166.0,166.0,0.0
SEN_60_104,137.0,137.0,137.0,0.0
SEN_60_105,138.0,138.0,138.0,0.0
SEN_60_106,137.0,137.0,137.0,0.0
SMA_13_104,134.0,134.0,134.0,0.0
SMA_13_105,139.0,139.0,139.0,0.0
SMA_13_106,233.0,233.0,233.0,0.0
SMA_5_104,130.0,130.0,130.0,0.0
SMA_5_105,138.0,138.0,138.0,0.0
SMA_5_106,169.0,169.0,169.0,0.0
SMA_60_104,138.0,138.0,138.0,0.0
SMA_60_105,136.0,136.0,136.0,0.0
SMA_60_106,130.0,130.0,130.0,0.0
